3,0.001000,3,50000,977,6.513333e-3,6.118688e-3,6.933255e-3,0.034
3,0.002000,3,50000,1941,1.294000e-2,1.238041e-2,1.352454e-2,0.038
3,0.003000,3,50000,2843,1.895333e-2,1.827547e-2,1.965583e-2,0.045
3,0.004000,3,50000,3811,2.540667e-2,2.462240e-2,2.621524e-2,0.052
3,0.005000,3,50000,4698,3.132000e-2,3.045045e-2,3.221355e-2,0.057
3,0.006000,3,50000,5573,3.715333e-2,3.620796e-2,3.812242e-2,0.063
3,0.007000,3,50000,6437,4.291333e-2,4.189938e-2,4.395070e-2,0.071
3,0.008000,3,50000,7229,4.819333e-2,4.712098e-2,4.928882e-2,0.073
3,0.009000,3,50000,7998,5.332000e-2,5.219441e-2,5.446847e-2,0.080
3,0.010000,3,50000,8745,5.830000e-2,5.712550e-2,5.949712e-2,0.085
5,0.001000,5,50000,5736,2.294400e-2,2.236437e-2,2.353829e-2,0.112
5,0.002000,5,50000,10482,4.192800e-2,4.114935e-2,4.272073e-2,0.181
5,0.003000,5,50000,14492,5.796800e-2,5.705874e-2,5.889085e-2,0.248
5,0.004000,5,50000,17973,7.189200e-2,7.088599e-2,7.291116e-2,0.305
5,0.005000,5,50000,20901,8.360400e-2,8.252536e-2,8.469544e-2,0.372
5,0.006000,5,50000,23288,9.315200e-2,9.201891e-2,9.429759e-2,0.419
5,0.007000,5,50000,25377,1.015080e-1,1.003303e-1,1.026980e-1,0.461
5,0.008000,5,50000,27235,1.089400e-1,1.077247e-1,1.101673e-1,0.510
5,0.009000,5,50000,28757,1.150280e-1,1.137832e-1,1.162846e-1,0.558
5,0.010000,5,50000,30104,1.204160e-1,1.191461e-1,1.216976e-1,0.601
7,0.001000,7,50000,12733,3.638000e-2,3.576476e-2,3.700541e-2,0.472
7,0.002000,7,50000,20639,5.896857e-2,5.819297e-2,5.975385e-2,0.828
7,0.003000,7,50000,26092,7.454857e-2,7.368303e-2,7.542345e-2,1.140
7,0.004000,7,50000,29772,8.506286e-2,8.414316e-2,8.599166e-2,1.387
7,0.005000,7,50000,32329,9.236857e-2,9.141377e-2,9.333232e-2,1.617
7,0.006000,7,50000,34011,9.717429e-2,9.619741e-2,9.816001e-2,1.780
7,0.007000,7,50000,35007,1.000200e-1,9.903040e-2,1.010184e-1,1.929
7,0.008000,7,50000,35940,1.026857e-1,1.016844e-1,1.036957e-1,2.002
7,0.009000,7,50000,36263,1.036086e-1,1.026033e-1,1.046226e-1,2.116
7,0.010000,7,50000,36519,1.043400e-1,1.033315e-1,1.053571e-1,2.205
9,0.001000,9,50000,16087,3.574889e-2,3.521037e-2,3.629533e-2,2.026
9,0.002000,9,50000,25725,5.716667e-2,5.649211e-2,5.784878e-2,3.240
9,0.003000,9,50000,31202,6.933778e-2,6.859923e-2,7.008368e-2,4.097
9,0.004000,9,50000,34202,7.600444e-2,7.523377e-2,7.678236e-2,4.772
9,0.005000,9,50000,35830,7.962222e-2,7.883485e-2,8.041677e-2,5.278
9,0.006000,9,50000,36876,8.194667e-2,8.114883e-2,8.275164e-2,5.610
9,0.007000,9,50000,37100,8.244444e-2,8.164439e-2,8.325163e-2,5.870
9,0.008000,9,50000,37179,8.262000e-2,8.181917e-2,8.342796e-2,6.206
9,0.009000,9,50000,37293,8.287333e-2,8.207138e-2,8.368241e-2,6.331
9,0.010000,9,50000,37319,8.293111e-2,8.212890e-2,8.374044e-2,6.569
11,0.001000,11,50000,25292,4.598545e-2,4.543506e-2,4.654219e-2,5.318
11,0.002000,11,50000,33530,6.096364e-2,6.033436e-2,6.159905e-2,8.192
11,0.003000,11,50000,36296,6.599273e-2,6.533961e-2,6.665191e-2,10.261
11,0.004000,11,50000,37218,6.766909e-2,6.700828e-2,6.833594e-2,10.852
11,0.005000,11,50000,37445,6.808182e-2,6.741913e-2,6.875054e-2,11.593
11,0.006000,11,50000,37484,6.815273e-2,6.748972e-2,6.882177e-2,12.353
11,0.007000,11,50000,37343,6.789636e-2,6.723452e-2,6.856425e-2,12.889
11,0.008000,11,50000,37547,6.826727e-2,6.760374e-2,6.893683e-2,12.760
11,0.009000,11,50000,37452,6.809455e-2,6.743180e-2,6.876333e-2,13.099
11,0.010000,11,50000,37508,6.819636e-2,6.753316e-2,6.886560e-2,13.269
13,0.001000,13,50000,28819,4.433692e-2,4.383919e-2,4.484004e-2,9.709
13,0.002000,13,50000,35531,5.466308e-2,5.411307e-2,5.521835e-2,13.511
13,0.003000,13,50000,37146,5.714769e-2,5.658599e-2,5.771463e-2,15.552
13,0.004000,13,50000,37333,5.743538e-2,5.687235e-2,5.800365e-2,16.987
13,0.005000,13,50000,37427,5.758000e-2,5.701630e-2,5.814893e-2,18.081
13,0.006000,13,50000,37392,5.752615e-2,5.696270e-2,5.809484e-2,18.794
13,0.007000,13,50000,37388,5.752000e-2,5.695657e-2,5.808866e-2,19.694
13,0.008000,13,50000,37394,5.752923e-2,5.696576e-2,5.809793e-2,19.444
13,0.009000,13,50000,37469,5.764462e-2,5.708061e-2,5.821385e-2,19.986
13,0.010000,13,50000,37473,5.765077e-2,5.708674e-2,5.822003e-2,20.102
15,0.001000,15,50000,34052,4.540267e-2,4.493382e-2,4.587617e-2,18.647
15,0.002000,15,50000,37044,4.939200e-2,4.890390e-2,4.988472e-2,26.406
15,0.003000,15,50000,37577,5.010267e-2,4.961123e-2,5.059871e-2,28.717
15,0.004000,15,50000,37505,5.000667e-2,4.951568e-2,5.050226e-2,31.344
15,0.005000,15,50000,37556,5.007467e-2,4.958336e-2,5.057058e-2,32.388
15,0.006000,15,50000,37551,5.006800e-2,4.957673e-2,5.056388e-2,31.740
15,0.007000,15,50000,37544,5.005867e-2,4.956744e-2,5.055451e-2,31.908
15,0.008000,15,50000,37435,4.991333e-2,4.942278e-2,5.040849e-2,31.699
15,0.009000,15,50000,37605,5.014000e-2,4.964839e-2,5.063622e-2,32.546
15,0.010000,15,50000,37480,4.997333e-2,4.948250e-2,5.046877e-2,33.412
